layer,head,rho,pvalue,n_arcs
0,10,-0.6238028025627583,0.0,498200
1,1,-0.6182837915705369,0.0,498200
2,9,-0.5849292447785951,0.0,498200
2,0,-0.5755576448530482,0.0,498200
4,11,-0.5491466367948539,0.0,498200
7,2,-0.5406205501561034,0.0,498200
6,6,-0.5318578089098628,0.0,498200
1,6,-0.5222316463003867,0.0,498200
3,9,-0.518573321662184,0.0,498200
5,9,-0.5170931493861869,0.0,498200
5,0,-0.4714965974620428,0.0,498200
4,5,-0.4353772790432273,0.0,498200
3,3,-0.43101639310006246,0.0,498200
5,7,-0.42206082389755745,0.0,498200
7,6,-0.39932364591133995,0.0,498200
8,2,-0.3933737281229093,0.0,498200
7,10,-0.3574496421901056,0.0,498200
8,5,-0.3460299995392321,0.0,498200
7,1,-0.3367577129977121,0.0,498200
6,5,-0.3114240279879895,0.0,498200
2,11,-0.31137836926931217,0.0,498200
0,8,-0.3101607341198648,0.0,498200
2,1,-0.3055181332171818,0.0,498200
0,11,-0.3031055873794901,0.0,498200
4,7,-0.3022262680941674,0.0,498200
8,0,-0.29985485771732634,0.0,498200
5,11,-0.2962311129625434,0.0,498200
3,10,-0.2960085741291983,0.0,498200
7,8,-0.2912910570792232,0.0,498200
6,3,-0.29065315137596376,0.0,498200
5,1,-0.284206397680135,0.0,498200
9,10,-0.27913756229803444,0.0,498200
2,5,-0.27752509862635427,0.0,498200
10,5,-0.27648722949522075,0.0,498200
6,11,-0.26606028548601046,0.0,498200
10,10,-0.26395017835085693,0.0,498200
7,7,-0.2624796846898283,0.0,498200
8,9,-0.2494114095571879,0.0,498200
7,11,-0.24669193828537217,0.0,498200
5,8,-0.24649801940148064,0.0,498200
0,2,-0.24632783981783518,0.0,498200
10,9,-0.24388601364999163,0.0,498200
1,4,-0.24035686332596992,0.0,498200
6,4,-0.2374268662057255,0.0,498200
9,4,-0.236565348095705,0.0,498200
9,0,-0.23523111048124984,0.0,498200
11,2,-0.2330231858086536,0.0,498200
11,3,-0.22946551194618328,0.0,498200
3,5,-0.22382505050937904,0.0,498200
5,10,-0.2223557171769583,0.0,498200
11,8,-0.2185171653806756,0.0,498200
10,2,-0.21590182120773535,0.0,498200
10,11,-0.21349490123352413,0.0,498200
11,9,-0.21288314398770145,0.0,498200
10,1,-0.20345590325984308,0.0,498200
8,3,-0.19973842751223014,0.0,498200
7,3,-0.19942591480532174,0.0,498200
9,6,-0.19868922489897223,0.0,498200
1,5,-0.1919064341665786,0.0,498200
3,7,-0.19122368175622773,0.0,498200
7,5,-0.1898820450571541,0.0,498200
11,5,-0.1894343532775458,0.0,498200
8,7,-0.1886399615504563,0.0,498200
9,7,-0.18606673749089048,0.0,498200
9,8,-0.18119517863962512,0.0,498200
10,6,-0.17974766116431234,0.0,498200
9,5,-0.1684522484388252,0.0,498200
9,1,-0.16780187675223715,0.0,498200
11,10,-0.16346865522143697,0.0,498200
8,4,-0.16189134618992898,0.0,498200
4,8,-0.15999655507879496,0.0,498200
1,10,-0.15922293186157135,0.0,498200
5,6,-0.1526621213384692,0.0,498200
10,8,-0.15136614123229014,0.0,498200
8,10,-0.14752427065704427,0.0,498200
4,0,-0.14706395859830246,0.0,498200
11,7,-0.14405462995948365,0.0,498200
9,9,-0.14070139908226223,0.0,498200
5,5,-0.13932534356776963,0.0,498200
6,9,-0.13921999289686116,0.0,498200
9,3,-0.13823860129158058,0.0,498200
8,1,-0.1354305007635367,0.0,498200
1,11,0.13312027040637836,0.0,498200
2,8,-0.1330860344992626,0.0,498200
6,8,-0.13292204840596003,0.0,498200
7,4,-0.12963351541838133,0.0,498200
11,0,-0.12903418073213432,0.0,498200
10,4,-0.12562934665587486,0.0,498200
3,11,-0.1214356885783385,0.0,498200
5,4,-0.11564300533031711,0.0,498200
4,4,-0.11465812795247234,0.0,498200
3,4,-0.11283142762759421,0.0,498200
4,2,-0.1056614534187851,0.0,498200
11,11,-0.10503886169138922,0.0,498200
0,3,-0.10053673625048022,0.0,498200
10,7,-0.098703811881424,0.0,498200
8,6,-0.09809929466247017,0.0,498200
1,0,-0.09749099449467462,0.0,498200
2,4,-0.0964685026040213,0.0,498200
11,4,-0.09521337873642476,0.0,498200
6,0,-0.09367953140174527,0.0,498200
2,10,-0.09195392079169779,0.0,498200
6,7,-0.08780377918275876,0.0,498200
3,6,-0.08728842999901243,0.0,498200
1,2,-0.08196998841747472,0.0,498200
4,10,-0.08050998426486335,0.0,498200
7,9,-0.07999222395959425,0.0,498200
0,5,-0.0792182226885861,0.0,498200
4,9,-0.07401817717081483,0.0,498200
0,9,0.07364278978311643,0.0,498200
3,8,-0.07231030226959131,0.0,498200
3,2,-0.06971888969385859,0.0,498200
4,1,-0.05693602940017734,0.0,498200
0,7,0.0567102342031876,0.0,498200
9,2,-0.05501405176256133,0.0,498200
0,6,-0.05401755988101034,0.0,498200
11,6,-0.05376955132775597,0.0,498200
8,8,-0.05293720848274333,5.483663731911491e-306,498200
0,1,-0.05243094791535785,3.3896169400152956e-300,498200
3,1,-0.05211836794629115,1.1962773625371731e-296,498200
1,9,-0.05211264542797605,1.388615737994852e-296,498200
5,2,-0.05118353777973346,3.6371979513241454e-286,498200
6,1,-0.04191352627410054,1.6392761680241507e-192,498200
4,6,0.03571724684960759,2.5178946128921517e-140,498200
0,4,-0.034128173586763996,2.770179168453973e-128,498200
4,3,-0.03181200485510639,1.0314600169325223e-111,498200
11,1,0.027841591793628575,5.211056430441213e-86,498200
6,10,-0.026354723122536564,2.9152666514625516e-77,498200
8,11,0.025222076440157767,6.422090763176596e-71,498200
2,6,-0.024965737913837143,1.6022680795555425e-69,498200
7,0,0.02475448447642387,2.2151603653887466e-68,498200
2,3,-0.02176023922031493,2.995207085376022e-53,498200
6,2,-0.018230125743766572,6.774065697977223e-38,498200
2,2,0.018120928384522124,1.8322843991980665e-37,498200
2,7,-0.01632642308499233,9.932759405644406e-31,498200
1,8,0.01284494386407075,1.2263730160124505e-19,498200
1,3,0.01211833552678189,1.1908902644337386e-17,498200
10,0,-0.011554067099545933,3.4776199218705586e-16,498200
1,7,0.011150018849409991,3.5386434411049622e-15,498200
9,11,0.00671092540954119,2.170839081366034e-06,498200
10,3,-0.0038265850673462804,0.006914536563520974,498200
5,3,0.0029421870996293766,0.03783003569344062,498200
0,0,0.0025822977879995995,0.06835353052899154,498200
3,0,-0.0008531600635678749,0.5470496744303089,498200
