,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
surprisal_vs_entropy_gpt2,0,-1159.5410867167416,106.99754556559651,0.0,0.35680731585685166,131.84566692658197,0.0,True,log
deep_gpt2,1,-1162.9316762049552,106.29207137741628,3.390589488213678,0.0,131.8393454733715,2.5714929739002046,True,log
surprisal_vs_entropy_t5,2,-1190.9140148228294,83.78873679684921,31.37292810608777,0.0,134.9939059113312,189.59242273627896,True,log
deep_t5,3,-1191.0540341138778,83.9011491046997,31.51294739713633,0.367228701342654,135.00724091065715,189.61454547730784,True,log
deep_bert,4,-1210.1233575233384,83.24046274200191,50.582270806597,0.0,134.75731618626372,189.3752043406675,True,log
surprisal_vs_entropy_bert,5,-1210.6602276299602,83.83284403911784,51.119140913218715,0.0,134.76048722484222,189.37705464840874,True,log
baseline,6,-1211.3828626835182,82.95221026308195,51.84177596677647,0.0,134.75924067378043,189.38875354969127,True,log
full,7,-1693.788103657284,117.99967569176306,534.2470169405423,0.27596398281707246,136.11119212107118,189.18432385467068,False,log
surprisal_vs_ic,8,-1742.5813370940734,116.31299916124408,583.0402503773317,0.0,136.45401356545642,189.43371341114695,False,log
