model,rank,elpd_loo,p_loo,elpd_diff,se,n_obs,elpd_loo_raw,se_raw
full,0,-11524.701193630195,13.947239474198796,0.0,99.39093412994983,20000,-11524.701193630195,99.39093412994983
surprisal_vs_ic,1,-11543.792125575994,11.7858054104654,19.09093194579873,99.23837848238166,20000,-11543.792125575994,99.23837848238166
deep_gpt2,2,-11679.644685713936,8.479070389830667,154.94349208374115,99.24922291448567,20000,-11679.644685713936,99.24922291448567
gpt2_controls,3,-11679.91860737907,9.348287496646662,155.2174137488746,99.24442562641288,20000,-11679.91860737907,99.24442562641288
surprisal_vs_entropy_gpt2,4,-11680.315609847292,8.885919584006842,155.61441621709673,99.31388878550686,20000,-11680.315609847292,99.31388878550686
entropy_reduction,5,-11744.88943727226,10.417729667533422,220.18824364206557,98.56521196751376,20000,-11744.88943727226,98.56521196751376
spillover,6,-11745.77268725133,10.341757700945891,221.07149362113523,98.56178737412984,20000,-11745.77268725133,98.56178737412984
controls_only,7,-11764.454745833013,8.312139939436747,239.75355220281745,98.06580900538547,20000,-11764.454745833013,98.06580900538547
baseline,8,-11764.9952196486,7.928218391194605,240.2940260184041,98.08590402843257,20000,-11764.9952196486,98.08590402843255
full_psycholing,9,-11832.62701125822,13.742478123605906,307.92581762802547,99.58211356320213,20000,-11832.62701125822,99.58211356320213
surprisal_vs_entropy_t5,10,-11867.205018459194,8.444142228479905,342.5038248289984,100.12059829731236,20000,-11867.205018459194,100.12059829731236
deep_t5,11,-11867.307498980183,8.004071914128872,342.60630534998745,100.10329773468214,20000,-11867.307498980183,100.10329773468214
deep_bert,12,-11869.052516846283,8.054944173529293,344.3513232160876,100.07881394011443,20000,-11869.052516846285,100.07881394011443
surprisal_vs_entropy_bert,13,-11869.512386411314,8.398464769916245,344.81119278111873,100.04908779486142,20000,-11869.512386411314,100.04908779486142
